src,tgt,length_km,blocker_substation_id,blocker_substation_name,blocker_distance_to_path_m,blocker_distance_along_path_m,path_length_km
308494,309843,33.48286194340174,300144,STATION 11,17.930268039182533,30948.3974381001,33.48286194340174
302171,308494,27.623408799973436,301156,BEVERLY,245.9532031166341,20141.172559284998,27.623408799973436
300144,308494,30.962741286667754,301156,BEVERLY,245.9532031166341,20141.172559284998,30.962741286667754
301105,308494,28.201447084329445,301156,BEVERLY,245.9532031166341,20141.172559284998,28.201447084329445
306365,307039,26.684057398032753,300390,HINSON,127.45723735120436,24528.362359094477,26.684057398032753
307039,308540,27.29071200355553,304450,HARBORGEN,92.64880905457912,25741.67729979649,27.29071200355553
302164,306365,22.08657752452031,300390,HINSON,127.45723735120436,2155.6950389382805,22.08657752452031
304137,306365,15.109047887054698,300390,HINSON,127.45723735120436,2155.6950389382805,15.109047887054698
304450,306365,6.73474084901271,300390,HINSON,127.45723735120436,2155.6950389382805,6.73474084901271
300627,306365,24.186562564435167,300390,HINSON,127.45723735120436,2155.6950389382805,24.186562564435167
306365,306844,20.53967683502252,300390,HINSON,127.45723735120436,2155.6950389382805,20.53967683502252
303169,306365,12.301876838629093,307274,CAMERON,35.902555367165796,3479.6680366877513,12.301876838629093
306365,308540,8.263972476085444,304450,HARBORGEN,92.64880905457912,6714.937772326409,8.263972476085444
306365,308806,19.506057788672873,300390,HINSON,127.45723735120436,2155.6950389382805,19.506057788672873
304073,306365,23.95431898695257,300390,HINSON,127.45723735120436,2155.6950389382805,23.95431898695257
306365,308471,23.70655952905402,300390,HINSON,127.45723735120436,2155.6950389382805,23.70655952905402
306365,310179,8.50110628468748,300390,HINSON,127.45723735120436,2155.6950389382805,8.50110628468748
306365,309758,25.973838911309496,300390,HINSON,127.45723735120436,2155.6950389382805,25.973838911309496
307564,310504,18.981112967203508,301541,MESA,233.78623432412041,8847.767911367888,18.981112967203508
300408,310504,27.299782701007345,300105,WALNUT,193.8184176191819,25441.20703929742,27.299782701007345
305984,310504,26.37462760287557,307564,JOSE,192.5283675377389,17394.42520613412,26.37462760287557
300105,310504,25.55809007957584,301541,MESA,233.78623432412041,8847.767911367888,25.55809007957584
301156,309843,15.459784751662419,300144,STATION 11,17.930268039182533,12925.320246360776,15.459784751662419
301156,309042,33.13639925332075,310527,STATION A (ST. JOHN),168.56063250182225,29717.978979504864,33.13639925332075
